epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.10517,1.11843,0.16667,1,1.20645,2.858e-05,2.858e-05,2.858e-05
2,2.27576,1.11529,0.25,1,1.18094,6.79132e-05,6.79132e-05,6.79132e-05
3,3.21533,0.99794,0.25,1,1.12263,0.000103002,0.000103002,0.000103002
4,4.08474,0.90995,0.33333,1,1.03924,0.000133847,0.000133847,0.000133847
5,4.92255,0.80432,0.66667,1,0.93645,0.000160448,0.000160448,0.000160448
6,5.80133,0.72762,0.66667,1,0.86245,0.000182805,0.000182805,0.000182805
7,6.69748,0.62259,0.75,1,0.77462,0.000200917,0.000200917,0.000200917
8,7.54006,0.60411,0.83333,1,0.72473,0.000214786,0.000214786,0.000214786
9,8.37829,0.52598,0.83333,1,0.61314,0.00022441,0.00022441,0.00022441
10,9.26011,0.47982,0.83333,1,0.56122,0.00022979,0.00022979,0.00022979
11,10.1589,0.49268,0.91667,1,0.45189,0.000230926,0.000230926,0.000230926
12,10.9793,0.36623,0.91667,1,0.41069,0.000227818,0.000227818,0.000227818
13,11.8345,0.34953,1,1,0.3336,0.000220466,0.000220466,0.000220466
14,12.7155,0.26599,1,1,0.30631,0.00020887,0.00020887,0.00020887
15,13.6249,0.31987,1,1,0.25523,0.000193029,0.000193029,0.000193029
16,14.5161,0.22572,1,1,0.23718,0.000172945,0.000172945,0.000172945
17,15.3846,0.27397,1,1,0.21504,0.000148616,0.000148616,0.000148616
18,16.2137,0.21065,1,1,0.20865,0.000120043,0.000120043,0.000120043
19,17.0674,0.21122,1,1,0.20176,8.72262e-05,8.72262e-05,8.72262e-05
20,17.9091,0.20703,1,1,0.19633,5.0165e-05,5.0165e-05,5.0165e-05
